calorific_value	nitrogen	turbidity	style	alcohol	sugars	bitterness	beer_id	colour	degree_of_fermentation
41.72123894	0.503275756	2.628181818	ale	4.015384615	16.73	10.45278947	93	13.44	55.33714286
42.42920354	0.52551218	1.776363636	ale	4.092307692	16.72	10.99952632	103	12.24	58.38
45.88053097	0.443232788	2.628181818	ale	4.276923077	16.68	13.45636842	178	10.92	58.38285714
37.38495575	0.176077042	1.130909091	lager	3.741538462	16.61	9.554789474	7	15.96	64.65571429
45.0840708	0.390027104	0.847272727	lager	3.68	16.09	11.42347368	161	11.88	64.72857143
40.0840708	0.164977505	0.534545455	lager	3.907692308	18.87	9.168157895	57	14.28	65.8
41.94247788	0.352781138	0.772727273	lager	4.104615385	15.94	5.924736842	97	12.24	65.94857143
43.71238938	0.233296555	2.627272727	stout	4.153846154	18.12	6.288052632	126	7.08	70.94
38.13716814	0.328714951	3.753636364	stout	4.138461538	18.7	7.799368421	22	10.2	71.17142857
42.51769912	0.352644077	2.937272727	stout	3.830769231	18.03	6.692736842	106	8.04	71.45142857
37.96017699	0.228401767	1.559090909	stout	3.950769231	17.96	5.386315789	19	10.68	71.69857143
